date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:10	344/344	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2013%20May%202019%2014:58:10%20GMT	http://bootstrap-material.fusetheme.com/robots.txt		(from )
15:58:11	152012/152012	---M-Z	200	added ('OK')	text/html	etag:%22b8c79-251cc-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/index.html	(from )
15:58:12	99326/99326	---M--	200	added ('OK')	text/css	etag:%22b47b5-183fe-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/icons/fuse-icon-font/style.css	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/icons/fuse-icon-font/style.css	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/)
15:58:14	56048/56048	---M--	200	added ('OK')	text/css	etag:%22b489e-daf0-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/node_modules/animate.css/animate.min.css	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/node_modules/animate.css/animate.min.css	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/)
15:58:15	4496/4496	---M--	200	added ('OK')	text/css	etag:%22b6ae2-1190-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/node_modules/pnotify/dist/PNotifyBrightTheme.css	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/node_modules/pnotify/dist/PNotifyBrightTheme.css	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/)
15:58:15	8419/8419	---M--	200	added ('OK')	text/css	etag:%22b6a78-20e3-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/node_modules/nvd3/build/nv.d3.min.css	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/node_modules/nvd3/build/nv.d3.min.css	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/)
15:58:16	2444/2444	---M--	200	added ('OK')	text/css	etag:%22b6ac6-98c-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/node_modules/perfect-scrollbar/css/perfect-scrollbar.css	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/node_modules/perfect-scrollbar/css/perfect-scrollbar.css	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/)
15:58:16	1985/1985	---M--	200	added ('OK')	text/css	etag:%22b4787-7c1-5788f849b9b00%22	http://bootstrap-material.fusetheme.com/assets/fuse-html/fuse-html.min.css	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/fuse-html/fuse-html.min.css	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/)
15:58:31	2491981/2491981	---M--	200	added ('OK')	text/css	etag:%22b4781-26064d-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/css/main.css	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/css/main.css	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/)
15:58:32	18034/18034	---M--	200	added ('OK')	application/javascript	etag:%22b6acb-4672-5788f84ba1f80%22	http://bootstrap-material.fusetheme.com/assets/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js	C:/Users/LADEJOBI%20BLESSING/Desktop/Template/PMS/bootstrap-material.fusetheme.com/assets/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js	(from http://bootstrap-material.fusetheme.com/vertical-layout-below-toolbar-below-footer-left-navigation/)
